City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Butaritari,KI,80.91,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
5,Rikitea,PF,78.21,few clouds,-23.1203,-134.9692,Pension Maro'i
6,Alofi,NU,84.2,scattered clouds,-19.0595,-169.9187,Taloa Heights
8,Cidreira,BR,75.25,light rain,-30.1811,-50.2056,Hotel Castelo
11,Arica,CL,77.0,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
13,Cabo San Lucas,MX,79.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
16,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
20,Axim,GH,79.54,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
21,Hambantota,LK,76.33,overcast clouds,6.1241,81.1185,Bungalow 63
23,Puerto Ayora,EC,80.6,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
25,Sao Joao Da Barra,BR,84.2,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
27,Chuy,UY,75.99,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
28,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
30,Canoinhas,BR,74.41,light rain,-26.1772,-50.39,Santa Catarina Plaza Hotel
33,Boali,CF,80.6,light rain,4.8005,18.1275,Auberge des Cocotiers Boali poste
35,Pisco,PE,77.0,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
36,Arraial Do Cabo,BR,82.4,clear sky,-22.9661,-42.0278,Pousada Porto Praia
39,Sao Filipe,CV,71.94,broken clouds,14.8961,-24.4956,Tortuga B&B
40,Atambua,ID,73.78,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
44,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
49,Mertoyudan,ID,71.01,overcast clouds,-7.52,110.2264,Atria Hotel Magelang
50,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
51,Hilo,US,80.6,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
57,Sokolo,ML,72.61,overcast clouds,14.7328,-6.1219,
62,Saint-Joseph,RE,80.6,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
65,Valparaiso,CL,78.8,clear sky,-33.0393,-71.6273,Hotel Ultramar
68,Saint-Philippe,RE,80.6,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
69,Mayor Pablo Lagerenza,PY,93.09,broken clouds,-19.9309,-60.7718,
73,Caravelas,BR,78.12,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
75,Makokou,GA,71.35,broken clouds,0.5738,12.8642,WAMY RESIDENCE HOTEL
77,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
80,Santa Cruz,BO,84.2,broken clouds,-17.8,-63.1667,Hotel Cortez
82,Lamu,KE,78.8,few clouds,-2.2717,40.902,Lamu House
86,Namibe,AO,74.52,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
91,Sakaraha,MG,76.24,light rain,-22.9,44.5333,Le Relais
92,Hobyo,SO,76.19,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
94,Puerto Baquerizo Moreno,EC,75.2,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
99,Geraldton,AU,80.6,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
100,Grand Gaube,MU,81.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
101,Hithadhoo,MV,81.0,overcast clouds,-0.6,73.0833,Scoop Guest House
103,East London,ZA,70.43,clear sky,-33.0153,27.9116,Tu Casa
110,Rio Branco,BR,87.8,scattered clouds,-9.9747,-67.81,João Paulo Hotel
111,Atuona,PF,78.03,clear sky,-9.8,-139.0333,Villa Enata
113,Ambanja,MG,76.32,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
115,Lodja,CD,71.78,broken clouds,-3.4833,23.4333,
117,Upata,VE,84.99,light rain,8.0086,-62.3989,Posada Villa Nela
124,Bowen,AU,71.6,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
127,Guerrero Negro,MX,78.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
128,Mahanoro,MG,77.92,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
129,Ilebo,CD,73.0,light rain,-4.3167,20.5833,Hôtel des palmes
131,Itarema,BR,80.47,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
133,Papara,BR,82.4,few clouds,-3.9839,-38.7273,Romin
134,Castro,BR,72.27,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
145,Bandiagara,ML,74.19,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
147,Georgetown,MY,78.8,scattered clouds,5.4112,100.3354,Cititel Penang
151,Humberto De Campos,BR,80.08,moderate rain,-2.5983,-43.4611,Pousada do Cabeça
152,Kita,ML,74.91,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
161,Bernal,PE,80.49,overcast clouds,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
163,Tete,MZ,77.0,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
165,Vao,NC,77.77,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
167,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
168,Matara,LK,74.59,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
170,Quebo,GW,71.49,overcast clouds,11.3333,-14.9333,
171,Aquiraz,BR,82.4,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
172,Bobo Dioulasso,BF,77.0,broken clouds,11.1771,-4.2979,IBA Hotel
175,Saint-Pierre,RE,80.6,broken clouds,-21.3393,55.4781,Lindsey Hôtel
177,Vila Velha,BR,82.4,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
180,Bathsheba,BB,80.6,few clouds,13.2167,-59.5167,Atlantis Hotel
183,Meulaboh,ID,76.01,overcast clouds,4.1363,96.1285,Kost Pria
184,Bengkulu,ID,75.87,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
194,Amapa,BR,77.38,light rain,1.0,-52.0,
195,Saint-Leu,RE,80.6,broken clouds,-21.15,55.2833,La Caz Oceane
196,Hadejia,NG,70.25,clear sky,12.4498,10.0444,Jigawa Rural And Development Authority
199,Ternate,ID,79.18,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
201,San Quintin,MX,75.69,clear sky,30.4833,-115.95,Old Mill Hotel
202,Gombong,ID,75.04,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
208,Nova Soure,BR,82.27,clear sky,-11.2333,-38.4833,Branca Hotel
209,Shahapur,IN,75.2,haze,19.45,73.3333,OYO 68690 Hotel New Food Hub
210,Guadalajara,MX,79.0,broken clouds,20.6667,-103.3333,Hotel Aranzazú
211,Gamba,GA,77.74,overcast clouds,-2.65,10.0,
216,Cayenne,GF,82.4,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
218,Miraflores,MX,70.0,broken clouds,19.2167,-98.8083,Hotel Mansión
219,Mbuji-Mayi,CD,70.68,light rain,-6.15,23.6,HOTEL METROPOLE DU KASAI
220,Nueva Gorgona,PA,87.01,few clouds,8.55,-79.8667,Coronado Luxury Club & Suites
224,Port Hedland,AU,87.8,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
232,Waingapu,ID,77.47,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
233,Trinidad,BO,84.2,broken clouds,-14.8333,-64.9,Hotel Piesta
234,Tambopata,PE,82.4,moderate rain,-12.7333,-69.1833,
237,Quelimane,MZ,79.65,overcast clouds,-17.8786,36.8883,Hotel Flamingo
238,Chilca,PE,78.01,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
240,Kismayo,SO,77.36,few clouds,-0.3582,42.5454,Agan-Hotel
241,San Jose De Rio Tinto,HN,80.6,broken clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
246,Beloha,MG,75.72,broken clouds,-25.1667,45.05,
247,Sola,VU,81.37,overcast clouds,-13.8833,167.55,Leumerus Bungalows
249,Blackwater,AU,77.07,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
251,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
252,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
254,Voi,KE,71.78,few clouds,-3.3945,38.563,Voi Wildlife Lodge
255,Rocha,UY,74.91,clear sky,-34.4833,-54.3333,Beleza Pura B&B
261,Pacific Grove,US,73.99,clear sky,36.6177,-121.9166,Lovers Point Inn
262,Vangaindrano,MG,78.69,broken clouds,-23.35,47.6,Hotel Fanilo
269,Bumba,CD,74.39,overcast clouds,2.1833,22.4667,Hôtel Cape Town
270,Sao Felix Do Xingu,BR,75.74,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
