City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Punta Arenas,-53.15,-70.9167,59.0,67,90,14.97,CL,light rain
1,Yellowknife,62.456,-114.3525,-4.0,77,40,10.36,CA,light snow
2,Peniche,39.3558,-9.3811,46.0,73,0,5.99,PT,clear sky
3,Marsh Harbour,26.5412,-77.0636,67.75,63,51,21.74,BS,broken clouds
4,Butaritari,3.0707,172.7902,80.91,75,50,20.92,KI,scattered clouds
5,Rikitea,-23.1203,-134.9692,78.21,67,19,3.85,PF,few clouds
6,Alofi,-19.0595,-169.9187,84.2,79,40,6.91,NU,scattered clouds
7,Hasaki,35.7333,140.8333,39.2,56,75,6.91,JP,broken clouds
8,Cidreira,-30.1811,-50.2056,75.25,94,91,4.9,BR,light rain
9,Heinola,61.2056,26.0381,-4.0,84,20,6.91,FI,few clouds
10,Dikson,73.5069,80.5464,-30.91,79,2,10.56,RU,clear sky
11,Arica,-18.475,-70.3042,77.0,47,0,16.11,CL,clear sky
12,Chokurdakh,70.6333,147.9167,-14.85,88,100,11.52,RU,overcast clouds
13,Cabo San Lucas,22.8909,-109.9124,79.0,41,1,9.22,MX,clear sky
14,Codrington,-38.2667,141.9667,56.01,67,96,9.86,AU,overcast clouds
15,Busselton,-33.65,115.3333,60.01,77,0,8.99,AU,clear sky
16,Vaini,-21.2,-175.2,82.4,89,40,8.05,TO,light rain
17,Tuktoyaktuk,69.4541,-133.0374,-2.2,84,90,10.36,CA,light snow
18,Hobart,-42.8794,147.3294,55.0,54,75,10.36,AU,broken clouds
19,Ushuaia,-54.8,-68.3,57.2,62,75,18.41,AR,light rain
20,Axim,4.8699,-2.2405,79.54,83,96,8.59,GH,overcast clouds
21,Hambantota,6.1241,81.1185,76.33,86,100,8.9,LK,overcast clouds
22,Saskylakh,71.9167,114.0833,-16.04,87,100,7.34,RU,overcast clouds
23,Puerto Ayora,-0.7393,-90.3518,80.6,74,40,13.8,EC,scattered clouds
24,Balkanabat,39.5108,54.3671,54.05,42,99,12.71,TM,overcast clouds
25,Sao Joao Da Barra,-21.6403,-41.0511,84.2,58,0,20.71,BR,clear sky
26,Visnes,59.3556,5.2242,36.0,86,90,27.63,NO,light snow
27,Chuy,-33.6971,-53.4616,75.99,79,34,12.68,UY,scattered clouds
28,Mahebourg,-20.4081,57.7,78.8,94,75,8.05,MU,broken clouds
29,Padang,-0.9492,100.3543,75.2,88,20,2.3,ID,few clouds
30,Canoinhas,-26.1772,-50.39,74.41,88,95,3.49,BR,light rain
31,Chitral,35.8462,71.7858,37.13,45,0,8.12,PK,clear sky
32,Pahalgam,34.0333,75.3333,25.48,66,0,12.64,IN,clear sky
