City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Roros,62.5747,11.3842,12.2,73,90,4.61,NO,2021-01-13 00:00:02
1,Hithadhoo,-0.6,73.0833,81.9,78,83,19.44,MV,2021-01-13 00:00:03
2,Punta Arenas,-53.15,-70.9167,48.2,57,40,17.27,CL,2021-01-12 23:59:14
3,Puerto Ayora,-0.7393,-90.3518,75.0,91,96,4.0,EC,2021-01-13 00:00:05
4,Bilma,18.6853,12.9164,61.52,28,0,1.39,NE,2021-01-13 00:00:08
5,Butaritari,3.0707,172.7902,81.37,80,99,20.04,KI,2021-01-13 00:00:10
6,Tuktoyaktuk,69.4541,-133.0374,-0.4,78,90,19.57,CA,2021-01-13 00:00:10
7,Hamilton,39.1834,-84.5333,33.01,69,1,5.75,US,2021-01-12 23:56:46
8,Zelenoborsk,61.4669,64.0333,-16.06,86,37,3.09,RU,2021-01-13 00:00:11
9,Honiara,-9.4333,159.95,79.18,76,100,1.12,SB,2021-01-12 23:55:12
10,Avarua,-21.2078,-159.775,86.0,66,40,21.85,CK,2021-01-13 00:00:12
11,Jilib,0.4883,42.7854,72.97,82,8,7.87,SO,2021-01-13 00:00:12
12,Komsomolskiy,40.4272,71.7189,33.8,55,100,4.61,UZ,2021-01-13 00:00:12
13,Ushuaia,-54.8,-68.3,50.0,53,20,17.27,AR,2021-01-13 00:00:12
14,Khatanga,71.9667,102.5,-20.76,87,100,4.59,RU,2021-01-13 00:00:14
15,Cidreira,-30.1811,-50.2056,72.91,84,96,15.5,BR,2021-01-12 23:58:18
16,Toguchin,55.2353,84.3858,-18.63,83,52,6.04,RU,2021-01-13 00:00:16
17,Albany,42.6001,-73.9662,32.0,73,77,2.68,US,2021-01-12 23:59:57
18,Lebu,-37.6167,-73.65,55.44,73,32,20.58,CL,2021-01-13 00:00:16
19,Provideniya,64.3833,-173.3,-4.0,71,75,11.18,RU,2021-01-13 00:00:17
20,Busselton,-33.65,115.3333,62.01,72,80,4.0,AU,2021-01-13 00:00:17
21,Mount Gambier,-37.8333,140.7667,62.6,63,100,5.75,AU,2021-01-13 00:00:17
22,Nantucket,41.2835,-70.0995,36.0,80,1,3.44,US,2021-01-12 23:58:41
23,Hobart,-42.8794,147.3294,75.0,49,20,11.5,AU,2021-01-13 00:00:13
24,Vardo,70.3705,31.1107,16.14,94,76,26.8,NO,2021-01-13 00:00:17
25,Vaini,-21.2,-175.2,84.2,79,75,12.66,TO,2021-01-13 00:00:18
26,Ribeira Grande,38.5167,-28.7,61.14,85,65,6.76,PT,2021-01-13 00:00:18
27,Port Alfred,-33.5906,26.891,66.99,96,85,15.79,ZA,2021-01-13 00:00:18
28,Novaya Zaimka,56.4857,66.9241,-23.19,86,84,6.06,RU,2021-01-13 00:00:19
29,Belaya Gora,68.5333,146.4167,-42.97,81,63,1.66,RU,2021-01-13 00:00:19
30,Bansgaon,26.5586,83.3481,44.46,60,0,5.91,IN,2021-01-13 00:00:19
31,Broome,42.2506,-75.833,30.99,69,90,3.44,US,2021-01-13 00:00:20
32,Upernavik,72.7868,-56.1549,16.36,96,100,10.31,GL,2021-01-13 00:00:21
33,Kavaratti,10.5669,72.642,78.84,71,100,13.31,IN,2021-01-13 00:00:22
34,Bonfim,3.0833,-59.95,81.27,60,13,6.2,BR,2021-01-13 00:00:22
35,Bredasdorp,-34.5322,20.0403,68.0,94,99,12.66,ZA,2021-01-13 00:00:22
36,Kodiak,57.79,-152.4072,37.44,80,100,7.47,US,2021-01-13 00:00:23
37,Bengkulu,-3.8004,102.2655,76.26,80,100,4.81,ID,2021-01-13 00:00:23
38,Dasoguz,41.8363,59.9666,23.0,93,0,6.91,TM,2021-01-13 00:00:23
39,Georgetown,5.4112,100.3354,77.0,73,20,1.14,MY,2021-01-12 23:57:24
40,Hermanus,-34.4187,19.2345,71.01,85,89,5.99,ZA,2021-01-13 00:00:24
41,Tual,-5.6667,132.75,84.09,77,91,12.82,ID,2021-01-13 00:00:24
42,San Luis,-33.295,-66.3356,71.38,51,25,8.81,AR,2021-01-13 00:00:24
43,Rikitea,-23.1203,-134.9692,77.79,79,5,17.09,PF,2021-01-13 00:00:25
44,Turka,49.1541,23.0297,30.99,68,72,13.89,UA,2021-01-13 00:00:25
45,Lorengau,-2.0226,147.2712,85.19,73,73,12.21,PG,2021-01-13 00:00:25
46,Nizhniy Kuranakh,58.8353,125.4869,-26.54,83,99,1.45,RU,2021-01-13 00:00:26
47,Urucara,-2.5364,-57.76,77.14,88,99,1.63,BR,2021-01-13 00:00:26
48,Kloulklubed,7.0419,134.2556,77.0,94,90,3.44,PW,2021-01-13 00:00:26
49,Adrar,20.5022,-10.0711,63.01,28,100,9.91,MR,2021-01-13 00:00:27
50,Qaanaaq,77.484,-69.3632,8.96,84,99,1.23,GL,2021-01-13 00:00:27
51,Salinopolis,-0.6136,-47.3561,78.78,85,95,9.26,BR,2021-01-13 00:00:27
52,Mataura,-46.1927,168.8643,75.34,48,93,3.27,NZ,2021-01-13 00:00:27
53,Cabo San Lucas,22.8909,-109.9124,70.0,49,75,11.5,MX,2021-01-13 00:00:18
54,Sumedang,-6.8592,107.9207,72.82,85,100,2.21,ID,2021-01-13 00:00:28
55,Alcudia,39.8532,3.1214,46.99,81,0,6.91,ES,2021-01-13 00:00:28
56,Clyde River,70.4692,-68.5914,-4.0,92,90,2.3,CA,2021-01-13 00:00:28
57,Bluff,-46.6,168.3333,63.82,68,100,6.22,NZ,2021-01-13 00:00:29
58,Tasiilaq,65.6145,-37.6368,30.2,80,90,41.43,GL,2021-01-13 00:00:29
59,Faya,18.3851,42.4509,44.6,70,0,3.91,SA,2021-01-13 00:00:29
60,Sohag,26.557,31.6948,60.8,63,0,6.91,EG,2021-01-13 00:00:30
61,Epe,6.5841,3.9834,77.43,91,0,2.3,NG,2021-01-13 00:00:30
62,Sioux Lookout,50.1001,-91.917,24.8,93,75,10.36,CA,2021-01-13 00:00:30
63,Alofi,-19.0595,-169.9187,86.0,70,75,10.36,NU,2021-01-13 00:00:31
64,Soto La Marina,23.7667,-98.2167,54.0,63,65,10.0,MX,2021-01-13 00:00:31
65,Rantepao,-2.9701,119.8978,74.34,79,92,1.23,ID,2021-01-13 00:00:31
66,Chumikan,54.7183,135.315,-21.57,80,9,6.98,RU,2021-01-13 00:00:31
67,Opuwo,-18.0607,13.84,67.6,60,100,5.23,NA,2021-01-13 00:00:32
68,Hobyo,5.3505,48.5268,75.65,78,1,20.33,SO,2021-01-13 00:00:32
69,Lixourion,38.2019,20.4314,54.46,70,41,20.62,GR,2021-01-13 00:00:32
70,Boguchany,58.3814,97.4531,-29.47,82,5,1.9,RU,2021-01-12 23:59:40
71,Thompson,55.7435,-97.8558,24.8,100,90,3.44,CA,2021-01-12 23:58:08
72,Springbok,-29.6643,17.8865,71.06,33,0,1.48,ZA,2021-01-13 00:00:33
73,Cape Town,-33.9258,18.4232,70.0,73,0,1.14,ZA,2021-01-13 00:00:33
74,Oak Park,41.885,-87.7845,36.0,69,20,11.5,US,2021-01-12 23:57:14
75,Dikson,73.5069,80.5464,-11.04,90,100,8.3,RU,2021-01-13 00:00:34
76,Evensk,61.95,159.2333,-8.46,85,98,2.08,RU,2021-01-13 00:00:34
77,Northam,51.0333,-4.2167,48.99,100,100,8.99,GB,2021-01-13 00:00:34
78,Boende,-0.2167,20.8667,75.18,71,33,1.5,CD,2021-01-13 00:00:34
79,Berlevag,70.8578,29.0864,13.03,88,79,26.42,NO,2021-01-13 00:00:34
80,Port Hardy,50.6996,-127.4199,44.6,93,90,3.44,CA,2021-01-13 00:00:34
81,Airai,-8.9266,125.4092,71.46,81,71,1.07,TL,2021-01-13 00:00:35
82,Hilo,19.7297,-155.09,75.2,73,90,6.91,US,2021-01-13 00:00:29
83,Yulara,-25.2406,130.9889,91.4,18,0,6.91,AU,2021-01-13 00:00:36
84,Mlowo,-9.0,32.9833,59.68,95,98,2.13,TZ,2021-01-13 00:00:36
85,Buala,-8.145,159.5921,84.69,66,100,1.68,SB,2021-01-13 00:00:36
86,Fairbanks,64.8378,-147.7164,12.99,85,75,1.14,US,2021-01-13 00:00:15
87,Kununurra,-15.7667,128.7333,87.8,89,81,4.61,AU,2021-01-13 00:00:37
88,Kapaa,22.0752,-159.319,78.8,73,1,8.05,US,2021-01-12 23:59:53
89,Port Elizabeth,-33.918,25.5701,69.8,88,75,8.05,ZA,2021-01-13 00:00:26
90,Dingle,10.9995,122.6711,74.62,84,100,11.77,PH,2021-01-13 00:00:37
91,Jamestown,42.097,-79.2353,28.0,80,90,8.05,US,2021-01-12 23:56:20
92,Samokov,42.3333,23.55,32.0,92,92,1.01,BG,2021-01-13 00:00:37
93,Takoradi,4.8845,-1.7554,78.69,86,52,9.15,GH,2021-01-13 00:00:37
94,Maraa,-1.8333,-65.3667,75.29,97,54,2.39,BR,2021-01-13 00:00:37
95,Neiafu,-18.65,-173.9833,84.2,79,40,6.91,TO,2021-01-13 00:00:38
96,Sale,34.0389,-6.8166,44.6,87,0,3.44,MA,2021-01-13 00:00:38
