City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Diamantino,-14.4086,-56.4461,77.11,85,96,2.55,BR,2021-01-14 23:26:53
1,Mataura,-46.1927,168.8643,73.0,64,31,3.0,NZ,2021-01-14 23:26:53
2,Bilibino,68.0546,166.4372,-23.21,83,97,0.96,RU,2021-01-14 23:26:53
3,Saskylakh,71.9167,114.0833,-46.98,76,47,2.08,RU,2021-01-14 23:26:53
4,Cherskiy,68.75,161.3,-24.38,84,96,5.93,RU,2021-01-14 23:26:53
5,Hithadhoo,-0.6,73.0833,81.55,78,100,17.36,MV,2021-01-14 23:26:53
6,Jining,35.405,116.5814,39.99,1,100,1.01,CN,2021-01-14 23:26:53
7,Poitiers,46.5833,0.3333,46.4,76,75,14.97,FR,2021-01-14 23:26:53
8,Hobart,-42.8794,147.3294,59.0,55,75,5.75,AU,2021-01-14 23:26:07
9,Noumea,-22.2763,166.4572,82.4,74,0,6.91,NC,2021-01-14 23:25:01
10,Palestine,31.9216,35.2033,59.0,72,40,9.22,PS,2021-01-14 23:26:54
11,Fairbanks,64.8378,-147.7164,-4.0,84,40,3.4,US,2021-01-14 23:22:28
12,Coihaique,-45.5752,-72.0662,68.0,42,0,8.05,CL,2021-01-14 23:26:54
13,Ponta Do Sol,32.6667,-17.1,53.01,55,10,5.99,PT,2021-01-14 23:26:54
14,Severo-Kurilsk,50.6789,156.125,25.63,92,100,20.18,RU,2021-01-14 23:26:54
15,Punta Arenas,-53.15,-70.9167,55.4,71,0,12.66,CL,2021-01-14 23:25:10
16,Mount Gambier,-37.8333,140.7667,57.2,72,40,19.57,AU,2021-01-14 23:23:15
17,Carnarvon,-24.8667,113.6333,78.8,94,0,13.8,AU,2021-01-14 23:26:54
18,Marawi,7.9986,124.2928,75.99,94,73,5.01,PH,2021-01-14 23:26:55
19,Lompoc,34.6391,-120.4579,73.4,40,1,17.27,US,2021-01-14 23:26:55
20,Kaitangata,-46.2817,169.8464,66.0,73,75,5.99,NZ,2021-01-14 23:26:55
21,Barrow,71.2906,-156.7887,-11.2,77,1,13.8,US,2021-01-14 23:22:15
22,Narsaq,60.9167,-46.05,21.2,68,75,9.22,GL,2021-01-14 23:26:55
23,New Norfolk,-42.7826,147.0587,59.0,55,75,5.75,AU,2021-01-14 23:26:55
24,Victoria,22.2855,114.1577,60.01,60,0,1.01,HK,2021-01-14 23:26:15
25,Albany,42.6001,-73.9662,36.0,72,100,0.65,US,2021-01-14 23:26:55
26,La Ronge,55.1001,-105.2842,21.2,79,99,14.97,CA,2021-01-14 23:26:56
27,Belaya Gora,68.5333,146.4167,-20.9,87,100,8.68,RU,2021-01-14 23:26:56
28,Kapaa,22.0752,-159.319,78.8,73,20,8.05,US,2021-01-14 23:23:27
29,Ust-Tsilma,65.441,52.1498,-10.64,87,100,3.67,RU,2021-01-14 23:26:56
30,Mar Del Plata,-38.0023,-57.5575,69.01,73,0,14.97,AR,2021-01-14 23:26:56
31,Lima,-12.0432,-77.0282,69.8,78,0,9.22,PE,2021-01-14 23:22:58
32,Shimoda,34.6667,138.95,50.0,71,40,17.27,JP,2021-01-14 23:26:57
33,Cape Town,-33.9258,18.4232,68.0,82,75,12.66,ZA,2021-01-14 23:23:54
34,Tiksi,71.6872,128.8694,-30.75,84,99,3.06,RU,2021-01-14 23:26:57
35,Ushuaia,-54.8,-68.3,53.6,58,20,10.36,AR,2021-01-14 23:26:57
36,Puerto Ayora,-0.7393,-90.3518,82.4,65,75,5.75,EC,2021-01-14 23:26:57
37,Nkhotakota,-12.9274,34.2961,73.04,88,97,4.38,MW,2021-01-14 23:26:57
38,Yellowknife,62.456,-114.3525,6.8,85,75,5.75,CA,2021-01-14 23:25:53
39,Faya,18.3851,42.4509,48.2,87,0,3.56,SA,2021-01-14 23:26:57
40,Hamilton,39.1834,-84.5333,48.2,53,20,4.61,US,2021-01-14 23:26:57
41,Urengoy,65.9667,78.3667,-4.25,92,100,4.18,RU,2021-01-14 23:26:58
42,Castro,-24.7911,-50.0119,65.46,88,54,10.11,BR,2021-01-14 23:24:51
43,Teknaf,20.8624,92.3058,61.12,74,26,6.8,BD,2021-01-14 23:26:58
44,Khash,28.2211,61.2158,39.72,43,0,1.3,IR,2021-01-14 23:26:58
45,Balikpapan,-1.2675,116.8289,77.0,100,40,9.22,ID,2021-01-14 23:26:58
46,Kodiak,57.79,-152.4072,39.2,93,90,23.02,US,2021-01-14 23:26:58
47,Linden,6.0,-58.3,77.0,88,0,9.22,GY,2021-01-14 23:26:58
48,Namatanai,-3.6667,152.4333,84.79,65,100,3.69,PG,2021-01-14 23:26:58
49,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,90,10.36,CA,2021-01-14 23:26:59
50,Awjilah,29.1081,21.2869,52.84,85,0,6.26,LY,2021-01-14 23:26:59
51,Atuona,-9.8,-139.0333,77.56,77,32,14.14,PF,2021-01-14 23:26:59
52,Saint-Philippe,-21.3585,55.7679,78.8,78,40,8.81,RE,2021-01-14 23:26:59
53,Samarai,-10.6167,150.6667,80.08,86,100,12.06,PG,2021-01-14 23:26:59
54,Hami,42.8,93.45,13.69,81,0,7.76,CN,2021-01-14 23:26:59
55,Rikitea,-23.1203,-134.9692,77.72,73,82,10.71,PF,2021-01-14 23:26:59
56,Minab,27.1467,57.0801,48.2,71,0,2.3,IR,2021-01-14 23:27:00
57,Upernavik,72.7868,-56.1549,18.7,96,100,5.23,GL,2021-01-14 23:27:00
58,Meulaboh,4.1363,96.1285,75.56,82,100,2.91,ID,2021-01-14 23:27:00
59,Hermanus,-34.4187,19.2345,64.0,86,0,8.99,ZA,2021-01-14 23:27:00
60,Avarua,-21.2078,-159.775,86.0,66,20,16.11,CK,2021-01-14 23:27:00
61,Tasiilaq,65.6145,-37.6368,37.4,75,75,12.66,GL,2021-01-14 23:27:01
62,Chifeng,42.2683,118.9636,-5.78,88,95,4.59,CN,2021-01-14 23:27:01
